GPA,Home,Who are the two senators from Pennsylvania,Primary Source of political news,Political Party,Parents' Party,What best describes your political ideology?,When do you trust the current U.S. government to do what is right?,How do you feel about how Donald Trump is handling his job as a President?,"Do you think the U.S. govt is doing too much, too little, or about the right amount in terms of protecting the environment?",How confident are you in the results of U.S. elections?,Do you feel the federal minimum wage should be,Grade level,Political Knowledge
3.01-3.5,Urban,Josh Shapiro and Madeline Dean,Friends and Family,Democrat,Democrat,Somewhat Liberal,Some of the time,Disapprove,About the right amount,Not confident,Increased,12,FALSE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Somewhat Conservative,Some of the time,Unsure,Unsure/Don't Know,Somewhat confident,Increased,9,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Republican ,Republican,Somewhat Conservative,Most of the time,Approve,About the right amount,Very confident,Increased,12,TRUE
4.01 or above,Urban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,,,,,,,12,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Republican ,Republican;Democrat;,Conservative,Some of the time,Approve,Too little,Very confident,Increased,10,TRUE
4.01 or above,Suburban,Josh Shapiro and Madeline Dean,Friends and Family;Cable TV News;Twitter;Tiktok or Instagram;Online Newspapers;,Independent,Independent;,Moderate,Some of the time,Somewhat Approve,About the right amount,Somewhat confident,Increased,9,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Cable TV News;,Republican ,Republican;,Conservative,All of the time,Approve,About the right amount,Very confident,Increased,10,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Friends and Family;Cable TV News;Twitter;Tiktok or Instagram;,Republican ,Republican;,Somewhat Conservative,Some of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Maintained,12,TRUE
4.01 or above,Suburban,Josh Shapiro and Madeline Dean,Friends and Family;Tiktok or Instagram;,Independent,Republican;,Somewhat Liberal,Most of the time,Somewhat Approve,About the right amount,Very confident,Maintained,10,FALSE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram;,Don't Know/Don't Identify,Don't Know;,Somewhat Conservative,Some of the time,Somewhat Disapprove,Too little,Somewhat confident,Increased,12,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Friends and Family;,Republican ,Republican;,Conservative,Most of the time,Approve,About the right amount,Unsure,Maintained,9,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;Friends and Family;,Independent,Republican;Independent;,Moderate,Some of the time,Unsure,About the right amount,Very confident,Increased,12,TRUE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Cable TV News;,Republican ,Republican;,Conservative,Most of the time,Approve,About the right amount,Very confident,Increased,10,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Republican ,Republican;,Conservative,Most of the time,Approve,About the right amount,Very confident,Increased,12,TRUE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Cable TV News;Tiktok or Instagram;,Democrat,Democrat;,Somewhat Liberal,Most of the time,Disapprove,Too little,Not confident,Increased,10,FALSE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Friends and Family;Tiktok or Instagram;,Don't Know/Don't Identify,Democrat;,Somewhat Liberal,Some of the time,Disapprove,About the right amount,Not confident,Increased,9,FALSE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Cable TV News;Tiktok or Instagram;,Republican ,Republican;,Conservative,Some of the time,Approve,About the right amount,Somewhat confident,Maintained,12,TRUE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Friends and Family;Cable TV News;Tiktok or Instagram;,Don't Know/Don't Identify,Democrat;,Moderate,Most of the time,Somewhat Approve,Too little,Somewhat confident,Maintained,10,FALSE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Democrat,Democrat;,Moderate,Most of the time,Disapprove,Too little,Somewhat confident,Increased,12,TRUE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram;,Republican ,Republican;,Conservative,Most of the time,Approve,Too much,Somewhat confident,Increased,9,FALSE
3.01-3.5,Rural,Dave McCormick and John Fetterman,Online Newspapers;,Republican ,Republican;,Somewhat Conservative,Some of the time,Somewhat Approve,About the right amount,Very confident,Increased,12,TRUE
3.01-3.5,Urban,Dave McCormick and John Fetterman,Friends and Family;,Democrat,Democrat;,Moderate,Most of the time,Somewhat Disapprove,Too little,Unsure,Increased,9,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Republican ,Republican;,Somewhat Conservative,Most of the time,Approve,Unsure/Don't Know,Very confident,Don't Know,10,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Don't Know/Don't Identify,Don't Know;,Moderate,Some of the time,Approve,Unsure/Don't Know,Very confident,Increased,9,TRUE
4.01 or above,Suburban,Josh Shapiro and Madeline Dean,Cable TV News;,Republican ,Republican;,Moderate,Most of the time,Somewhat Approve,About the right amount,Somewhat confident,Increased,12,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;Online Newspapers;,Republican ,Republican;,Somewhat Conservative,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,10,TRUE
3.01-3.5,Rural,Dave McCormick and John Fetterman,Friends and Family;,Don't Know/Don't Identify,Democrat;,Somewhat Liberal,Some of the time,Somewhat Disapprove,Too little,Somewhat confident,Increased,12,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Cable TV News;Twitter;,Republican ,Don't Know;,Conservative,Most of the time,Approve,About the right amount,Somewhat confident,Increased,9,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Republican ,Republican;,Conservative,Most of the time,Approve,Too little,Somewhat confident,Increased,10,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Friends and Family;Twitter;Tiktok or Instagram;,Republican ,Republican;,Conservative,Most of the time,Approve,About the right amount,Somewhat confident,Maintained,12,TRUE
3.0 or below,Suburban,,Twitter;Tiktok or Instagram;,Don't Know/Don't Identify,Don't Know;,Moderate,Some of the time,Unsure,Unsure/Don't Know,Unsure,Don't Know,9,FALSE
,Suburban,,Friends and Family;Tiktok or Instagram;,Republican ,Republican;,,Most of the time,Somewhat Approve,Too little,Unsure,Increased,9,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Democrat,Democrat;,Somewhat Liberal,Some of the time,Somewhat Disapprove,Too little,Somewhat confident,Increased,12,TRUE
4.01 or above,Suburban,,,Republican ,Republican;Democrat;,Somewhat Conservative,Most of the time,Somewhat Approve,Too much,Unsure,Increased,10,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Cable TV News;,Republican ,Republican;,Conservative,Most of the time,Approve,About the right amount,Very confident,Maintained,9,TRUE
3.01-3.5,Suburban,Warren Davidson and Dave Mccormick,Friends and Family;Cable TV News;Tiktok or Instagram;,Republican ,Republican;,Somewhat Conservative,Some of the time,Approve,Too little,Somewhat confident,Increased,10,FALSE
3.01-3.5,Urban,Josh Shapiro and Madeline Dean,Cable TV News;Twitter;Tiktok or Instagram;,Republican ,Republican;,Conservative,Some of the time,Approve,About the right amount,Unsure,Increased,12,FALSE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram;,Don't Know/Don't Identify,Don't Know;,Moderate,Most of the time,Somewhat Disapprove,Too little,Unsure,Increased,9,FALSE
3.51-4.0,Rural,Dave McCormick and John Fetterman,Tiktok or Instagram;,Don't Know/Don't Identify,Don't Know;,Moderate,Most of the time,Unsure,Unsure/Don't Know,Unsure,Increased,9,TRUE
3.0 or below,Urban,Dave McCormick and John Fetterman,Cable TV News;,Independent,Republican;Democrat;,Moderate,Never,Disapprove,Too little,Unsure,Increased,12,TRUE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram;,Don't Know/Don't Identify,Don't Know;,Moderate,Most of the time,Unsure,About the right amount,Unsure,Increased,10,FALSE
3.01-3.5,Rural,Josh Shapiro and Madeline Dean,Tiktok or Instagram;,Democrat,Democrat;,Moderate,Most of the time,Somewhat Approve,About the right amount,Somewhat confident,Increased,9,FALSE
3.0 or below,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram;,Republican ,Republican;,Conservative,Some of the time,Approve,Too little,Very confident,Don't Know,12,TRUE
3.0 or below,Suburban,Dave McCormick and John Fetterman,Friends and Family;Cable TV News;Tiktok or Instagram;,Independent,Democrat;,Moderate,Never,Disapprove,Too little,Not confident,Increased,9,TRUE
3.01-3.5,Suburban,,Cable TV News;Tiktok or Instagram;,Republican ,Republican;,Somewhat Conservative,All of the time,Approve,About the right amount,Very confident,Increased,10,FALSE
4.01 or above,Suburban,Josh Shapiro and Madeline Dean,Friends and Family;Cable TV News;Twitter;Tiktok or Instagram;,Republican ,Republican;,Somewhat Conservative,Most of the time,Somewhat Approve,Too little,Somewhat confident,Increased,12,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Friends and Family;Tiktok or Instagram;,Republican ,Don't Know;,Conservative,Most of the time,Approve,About the right amount,Very confident,Maintained,9,TRUE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Friends and Family;Cable TV News;,Republican ,Republican;,Somewhat Conservative,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,9,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Online Newspapers;,Democrat,Democrat;,Liberal,Some of the time,Disapprove,Too little,Somewhat confident,Increased,12,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Cable TV News;Twitter;Tiktok or Instagram;,Republican ,Republican;,Somewhat Conservative,Most of the time,Somewhat Approve,Unsure/Don't Know,Very confident,Increased,10,TRUE
3.51-4.0,Suburban,Warren Davidson and Dave Mccormick,Cable TV News;,Republican ,Republican;,Conservative,Most of the time,Approve,Unsure/Don't Know,Very confident,Maintained,9,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Cable TV News;Tiktok or Instagram;,Republican ,Republican;,Conservative,Never,Somewhat Approve,Too much,Somewhat confident,Maintained,12,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Cable TV News;,Republican ,Republican;Democrat;,Moderate,Most of the time,Disapprove,Unsure/Don't Know,Somewhat confident,Increased,10,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Cable TV News;Tiktok or Instagram;,Republican ,Republican;,Conservative,Some of the time,Somewhat Approve,Too little,Somewhat confident,Increased,9,TRUE
3.51-4.0,Suburban,Warren Davidson and Dave Mccormick,Friends and Family;Cable TV News;Tiktok or Instagram;,Independent,Republican;Democrat;,Moderate,Some of the time,Disapprove,Too little,Very confident,Increased,12,FALSE
3.01-3.5,Suburban,Warren Davidson and Dave Mccormick,Cable TV News,Republican ,Republican,Somewhat Liberal,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,10,FALSE
3.51-4.0,Urban,Warren Davidson and Dave Mccormick,Friends and Family;Cable TV News;Tiktok or Instagram,Republican ,Republican,Moderate,Most of the time,Approve,About the right amount,Somewhat confident,Increased,9,FALSE
3.0 or below,Suburban,Dave McCormick and John Fetterman,Cable TV News;Tiktok or Instagram,Republican ,Republican,Conservative,Most of the time,Approve,Too little,Very confident,Maintained,9,TRUE
4.01 or above,Suburban,Josh Shapiro and Madeline Dean,Friends and Family;Online Newspapers,Don't Know/Don't Identify,Republican,Liberal,Some of the time,Disapprove,Too little,Very confident,Increased,10,FALSE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Cable TV News,Republican ,Republican,Conservative,Most of the time,Approve,About the right amount,Very confident,Increased,10,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Friends and Family,Republican ,Republican,,Most of the time,Approve,About the right amount,Somewhat confident,Maintained,9,TRUE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Republican ,Republican,Conservative,Most of the time,Approve,About the right amount,Very confident,Increased,10,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Friends and Family;Cable TV News;Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Disapprove,Too little,Somewhat confident,Increased,9,TRUE
3.51-4.0,Rural,Dave McCormick and John Fetterman,Friends and Family;Tiktok or Instagram,Independent,Independent,Moderate,Most of the time,Unsure,About the right amount,Somewhat confident,Increased,9,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Cable TV News,Don't Know/Don't Identify,Don't Know,Moderate,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,10,TRUE
3.01-3.5,Suburban,,Online Newspapers,Don't Know/Don't Identify,Don't Know,,Some of the time,Somewhat Approve,Unsure/Don't Know,Unsure,Increased,10,FALSE
4.01 or above,Suburban,Warren Davidson and Dave Mccormick,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Never,Somewhat Approve,Unsure/Don't Know,Unsure,Increased,10,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family,Democrat,Democrat,Moderate,Some of the time,Disapprove,Too little,Somewhat confident,Increased,10,TRUE
3.0 or below,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Republican ,Republican,,Most of the time,Approve,About the right amount,Very confident,Increased,10,FALSE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Friends and Family,Democrat,Democrat;Independent,Liberal,Some of the time,Disapprove,Too little,Not confident,Increased,10,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family,Republican ,Republican,Conservative,Most of the time,Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Moderate,Most of the time,Approve,About the right amount,Somewhat confident,Increased,11,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Cable TV News,Don't Know/Don't Identify,Don't Know,Moderate,Most of the time,Unsure,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Somewhat Conservative,Some of the time,Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
3.0 or below,Suburban,Dave McCormick and John Fetterman,Friends and Family;Tiktok or Instagram,Don't Know/Don't Identify,Republican;Democrat,Moderate,Some of the time,Disapprove,Too little,Unsure,Increased,11,TRUE
3.01-3.5,Rural,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Democrat,Democrat,Moderate,Never,Disapprove,Too much,Somewhat confident,Increased,11,FALSE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family;Tiktok or Instagram,Republican ,Republican,Somewhat Conservative,Some of the time,Somewhat Approve,Too little,Very confident,Maintained,11,TRUE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Don't Know/Don't Identify,Republican,Moderate,Most of the time,Somewhat Approve,Too little,Very confident,Increased,11,FALSE
3.51-4.0,Suburban,Josh Shapiro and Madeline Dean,Cable TV News;Tiktok or Instagram,Don't Know/Don't Identify,Republican;Democrat,Moderate,Some of the time,Unsure,About the right amount,Somewhat confident,Increased,11,FALSE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Most of the time,Somewhat Disapprove,Unsure/Don't Know,Unsure,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family;Cable TV News,Republican ,Republican;Independent,Conservative,Some of the time,Approve,About the right amount,Very confident,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Moderate,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
3.51-4.0,Urban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Democrat,Moderate,Some of the time,Disapprove,Unsure/Don't Know,Not confident,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Friends and Family,Don't Know/Don't Identify,Don't Know,Moderate,Most of the time,Unsure,Unsure/Don't Know,Unsure,Increased,11,TRUE
3.01-3.5,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Somewhat Conservative,Most of the time,Approve,About the right amount,Somewhat confident,Increased,11,TRUE
3.51-4.0,Suburban,Warren Davidson and Dave Mccormick,Cable TV News,Democrat,Republican,Somewhat Liberal,Most of the time,Disapprove,Too little,Very confident,Increased,11,FALSE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Cable TV News,Republican ,Republican,Conservative,Most of the time,Approve,About the right amount,Somewhat confident,Increased,11,TRUE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Unsure,Unsure/Don't Know,Somewhat confident,Increased,11,FALSE
3.01-3.5,Suburban,Josh Shapiro and Madeline Dean,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Somewhat Disapprove,Too little,Unsure,Increased,11,FALSE
3.51-4.0,Rural,Dave McCormick and John Fetterman,Friends and Family;Cable TV News;Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Unsure,Too little,Unsure,Increased,11,TRUE
3.51-4.0,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Republican ,Republican;Democrat,Conservative,Most of the time,Somewhat Approve,Unsure/Don't Know,Somewhat confident,Increased,11,TRUE
4.01 or above,Suburban,Dave McCormick and John Fetterman,Tiktok or Instagram,Don't Know/Don't Identify,Don't Know,Moderate,Some of the time,Unsure,Unsure/Don't Know,Unsure,Increased,11,TRUE
